Sample,Specimen,Species,mtClade,Locality,State,County,Lat,Long,Notes
RAP1141,RAP1141_monticola_A,cheaha,monticola_A,Ivy Creek (RE Bob Woodruff Park),AL,Autauga,32.398187,-86.790165,
RAP1016,RAP1016_monticola_A,cheaha,monticola_A,Bolen Town Rd.,AL,Clarke,31.5850504,-87.965,
RAP1136,RAP1136_monticola_A,cheaha,monticola_A,Limestone Creek (Fred T. Stimpson SOA),AL,Clarke,31.398528,-87.850667,
RAP0707,RAP0707_monticola_A,cheaha,monticola_A,Forever Wild - Red Hills Complex,AL,Monroe,31.732458,-87.367445,
RAP1030,RAP1030_monticola_A,cheaha,monticola_A,"Haines Island, Davis Ferry",AL,Monroe,31.7207136,-87.4651814,
RAP1134,RAP1134_monticola_A,cheaha,monticola_A,Red Hills Complex (Forever Wild),AL,Monroe,31.73183,-87.367294,
RAP1083,RAP1083_monticola_C,cheaha,monticola_A,Pine Log WMA,GA,Bartow,34.24335,-84.67197,
RAP1394,RAP1394_monticola_C,cheaha,monticola_A,Clarks Creek tributary,GA,Chattooga,34.391272,-85.315646,conanti_D
RAP1087,RAP1087_monticola_C,cheaha,monticola_A,John's Mountain WMA,GA,Floyd,34.56487,-85.1031,
RAP1079,RAP1079_monticola_C,cheaha,monticola_C,Hollins WMA,AL,Clay,33.205824,-86.07947,
RAP1075,RAP1075_monticola_C,cheaha,monticola_C,Maxwell Gap,AL,Cleburne,33.929821,-85.500837,
RAP1077,RAP1077_monticola_C,cheaha,monticola_C,Chulafinnee Creek,AL,Cleburne,33.526608,-85.728314,
RAP1150,RAP1150_monticola_C,cheaha,monticola_C,Jackson Creek,AL,Cleburne,33.609398,-85.720671,
RAP1153,RAP1153_monticola_C,cheaha,monticola_C,Pinhoti Trail,AL,Cleburne,33.645579,-85.638936,
RAP1155,RAP1155_monticola_C,cheaha,monticola_C,Skyway Motorway,AL,Cleburne,33.69696,-85.60015,
RAP1143,RAP1143_monticola_C,cheaha,monticola_C,Coosa WMA (Pennymotley Creek),AL,Coosa,32.83761,-86.39565,
RAP1071,RAP1071_monticola_C,cheaha,monticola_C,"Readers Gap/Shannon Rd., Bessemer",AL,Jefferson,33.3808281,-86.9218155,
RAP1145,RAP1145_monticola_C,cheaha,monticola_C,Ruffner Mountain,AL,Jefferson,33.565216,-86.691359,
RAP1152,RAP1152_monticola_C,cheaha,monticola_C,Wehadkee Creek tributary,AL,Randolph,33.250206,-85.335513,
RAP1139,RAP1139_monticola_C,cheaha,monticola_C,"Oak Mountain State Park, Peavine Trail",AL,Shelby,33.323082,-86.755638,
RAP1128,RAP1128_monticola_C,cheaha,monticola_C,Yates Lake,AL,Tallapoosa,32.589228,-85.88501,
RAP1081,RAP1081_monticola_C,cheaha,monticola_C,Paulding Forest WMA,GA,Paulding,33.889077,-84.938126,
RAP1361,RAP1361_monticola_C,cheaha,monticola_C,Raccoon Creek,GA,Paulding,33.935229,-84.970223,
RAP1334,RAP1334_monticola_B,monticola,monticola_A,Dawson Forest,GA,Dawson,34.425533,-84.210871,
RAP0679,RAP0679_monticola_A,monticola,monticola_A,"Horse Cove, Cold Mtn.",GA,Gilmer,34.777,-84.33188,
RAP1380,RAP1380_monticola_B,monticola,monticola_A,Bear Creek tributary,GA,Gilmer,34.810494,-84.560547,
RAP0656,RAP0656_monticola_A,monticola,monticola_A,"Frogtown Creek, Desoto Falls Campground",GA,Lumpkin,34.7080531,-83.9126546,
RAP1326,RAP1326_monticola_B,monticola,monticola_A,Pruitt Creek,GA,Lumpkin,34.64158,-83.94225,
RAP1383,RAP1383_monticola_B,monticola,monticola_A,Bearpen Branch,GA,Murray,34.768974,-84.685241,
RAP1298,RAP1298_monticola_B,monticola,monticola_A,Coopers Creek,GA,Union,34.75275,-84.01403,
RAP1068,RAP1068_monticola_A,monticola,monticola_A,Goforth Creek,TN,Polk,35.08703,-84.51431,
RAP0686,RAP0686_monticola_B,monticola,monticola_B,Walkers Creek,GA,Stephens,34.6671484,-83.3161259,
RAP0673,RAP0673_monticola_B,monticola,monticola_B,Tate City Rd. nr Tallulah River,GA,Towns,34.958973,-83.553978,
RAP0713,RAP0713_monticola_B,monticola,monticola_B,"Pond Mtn., Rock Fence Rd. nr. Listening Rock",NC,Ashe,36.5555108,-81.6467495,
RAP0719,RAP0719_monticola_B,monticola,monticola_B,"Three Top Mtn., E of Creston",NC,Ashe,36.423777,-81.594393,
RAP0807,RAP0807_monticola_B,monticola,monticola_B,"Mineral Creek, Stoney Fork Rd.",NC,Buncombe,35.7232987,-82.4052189,
RAP0781,RAP0781_monticola_B,monticola,monticola_B,County Line Rd. nr. Linville Falls,NC,Burke,35.9488909,-81.9334562,
RAP1092,RAP1092_monticola_B,monticola,monticola_B,Panther Creek,NC,Graham,35.253854,-83.809327,
RAP1258,RAP1258_monticola_B,monticola,monticola_B,Beach Creek,NC,Graham,35.420774,-83.950274,
RAP0826,RAP0826_monticola_B,monticola,monticola_B,Cold Springs Rd. nr. Harmon's Den,NC,Haywood,35.7552961,-82.9973662,
RAP0837,RAP0837_monticola_B,monticola,monticola_B,Rt. 288 nr. Pigeon River,NC,Haywood,35.7302948,-83.0271226,
RAP0845,RAP0845_monticola_B,monticola,monticola_B,Cozy Creek Cabin,NC,Haywood,35.5552805,-83.0693542,
RAP0993,RAP0993_monticola_B,monticola,monticola_B,Burnette Cove Creek,NC,Haywood,35.4285805,-82.8335707,
RAP0864,RAP0864_monticola_B,monticola,monticola_B,West Fork Dick's Creek,NC,Jackson,35.4374004,-83.248318,
RAP0874,RAP0874_monticola_B,monticola,monticola_B,FR 4663 W of 215,NC,Jackson,35.2761615,-82.9269025,
RAP0877,RAP0877_monticola_B,monticola,monticola_B,"SR 215, N Fork French Broad River",NC,Jackson,35.2533044,-82.9195227,
RAP1277,RAP1277_monticola_B,monticola,monticola_B,Gibby Branch,NC,Macon,35.175288,-83.707071,
RAP1283,RAP1283_monticola_B,monticola,monticola_B,Wayah Bald,NC,Macon,35.169575,-83.585778,
RAP0641,RAP0641_monticola_B,monticola,monticola_B,Singecat Branch off NC80 between Busick and Sunnyvale,NC,McDowell,35.756414,-82.148232,
RAP0797,RAP0797_monticola_B,monticola,monticola_B,Long Branch nr. Point Lookout,NC,McDowell,35.6310592,-82.2609134,
RAP1203,RAP1203_monticola_B,monticola,monticola_B,Curtis Creek,NC,McDowell,35.683936,-82.202089,
RAP0764,RAP0764_monticola_B,monticola,monticola_B,"Pigeonroost Cr., btwn. Pigeonroost and Upper Pigeonroost",NC,Mitchell,36.082145,-82.2792714,
RAP0771,RAP0771_monticola_B,monticola,monticola_B,"Spring Creek near Rt. 226, Pisgah Game Land",NC,Mitchell,36.136275,-82.2394658,
RAP0936,RAP0936_monticola_B,monticola,monticola_B,Green River Game Lands,NC,Polk,35.2829088,-82.3001916,
RAP0927,RAP0927_monticola_B,monticola,monticola_B,Road to Big Laurel,NC,Swain,35.3549861,-83.3452396,
RAP0881,RAP0881_monticola_B,monticola,monticola_B,US 276 nr. Cradle of Forestry,NC,Transylvania,35.3397588,-82.7911596,
RAP0934,RAP0934_monticola_B,monticola,monticola_B,White Oak Bridge,NC,Transylvania,35.0828156,-82.7655505,
RAP0967,RAP0967_monticola_B,monticola,monticola_B,Courthouse Creek Campground,NC,Transylvania,35.2768641,-82.8919228,
RAP0634,RAP0634_monticola_B,monticola,monticola_B,"Near Rominger, Rominger Rd.",NC,Watauga,36.2351144,-81.8372732,
RAP0731,RAP0731_monticola_B,monticola,monticola_B,"United Trail, Boone",NC,Watauga,36.2236491,-81.6661758,
RAP0947,RAP0947_monticola_B,monticola,monticola_B,Bell Branch,NC,Wilkes,36.3718891,-81.1571914,
RAP1050,RAP1050_monticola_B,monticola,monticola_B,Sinking Creek Springhouse,TN,Washington,36.251408,-82.364312,
RAP1102,RAP1102_monticola_B,monticola,monticola_B,Horse Cove,TN,Washington,36.251856,-82.365181,
RAP1455,RAP1455_monticola_B,monticola,monticola_B,"Saddle Hollow, Mad Run tributary",VA,Albemarle,38.08436,-78.72977,fuscus_B
RAP1175,RAP1175_monticola_B,monticola,monticola_B,Birch Run,VA,Bath,38.149008,-79.768881,
RAP1427,RAP1427_monticola_B,monticola,monticola_B,Dry Branch,VA,Smyth,36.700835,-81.620953,
RAP1440,RAP1440_monticola_B,monticola,monticola_B,Casey Branch,VA,Washington,36.835937,-81.972226,
RAP1451,RAP1451_monticola_B,monticola,monticola_B,Tumbling Creek,VA,Washington,36.925,-81.839,
RAP1185,RAP1185_monticola_B,monticola,monticola_B,Larken Branch Slaunch Fork,WV,McDowell,37.371667,-81.923333,
RAP1191,RAP1191_monticola_B,monticola,monticola_B,Millseat Branch,WV,McDowell,37.322205,-81.414562,
RAP1199,RAP1199_monticola_B,monticola,monticola_B,South Fork Potts Creek trib. (main),WV,Monroe,37.455148,-80.476427,
RAP1198,RAP1198_monticola_B,monticola,monticola_B,Crooked Run tributary,WV,Summers,37.473043,-80.866447,
RAP1181,RAP1181_monticola_B,monticola,monticola_B,Lefthand Fork Bearhole Fork,WV,Wyoming,37.598044,-81.506314,